cn,arxiv_id,doi,inspire_url,title
618943,hep-ph/0305179,10.1088/1126-6708/2003/06/057,https://inspirehep.net/literature/618943,"Exponentiation of the Drell-Yan cross-section near partonic threshold in the DIS and MS-bar schemes"
631364,hep-ph/0310271,"",https://inspirehep.net/literature/631364,"Exponentiation at partonic threshold for the Drell-Yan cross-section"
641729,"","",https://inspirehep.net/literature/641729,"Soft gluons and hard scales in QCD: Heavy quarks at finite and all orders"
645936,hep-ph/0403100,"",https://inspirehep.net/literature/645936,"The QCD / SM working group: Summary report"
653947,hep-ph/0407085,"",https://inspirehep.net/literature/653947,"How to study quark spin without spin"
654357,nucl-ex/0407010,"",https://inspirehep.net/literature/654357,"Anisotropic flow at the relativistic heavy ion collider"
661731,nucl-th/0410049,10.1103/PhysRevC.71.014903,https://inspirehep.net/literature/661731,"The Non-Abelian feature of parton energy loss in energy dependence of jet quenching in high-energy heavy-ion collisions"
666733,hep-ph/0412138,10.1103/PhysRevD.71.034009,https://inspirehep.net/literature/666733,"Quark initial state interaction in deep inelastic scattering and the Drell-Yan process"
674591,hep-ph/0501055,10.1088/0954-3899/31/7/010,https://inspirehep.net/literature/674591,"Azimuthal asymmetries in unpolarized Drell-Yan events on nuclear targets"
679176,hep-ph/0503270,10.1103/PhysRevD.71.114007,https://inspirehep.net/literature/679176,"Dilepton production near partonic threshold in transversely polarized proton-antiproton collisions"
679958,hep-ex/0504011,10.1007/BF03031992,https://inspirehep.net/literature/679958,"Spin physics with antiprotons"
681541,hep-ph/0504261,10.1103/PhysRevD.72.074013,https://inspirehep.net/literature/681541,"Monte Carlo simulation of events with Drell-Yan lepton pairs from antiproton-proton collisions: The Fully polarized case"
682772,hep-ex/0505054,"",https://inspirehep.net/literature/682772,"Antiproton-proton scattering experiments with polarization"
683352,hep-ph/0505214,10.1103/PhysRevD.72.054027,https://inspirehep.net/literature/683352,"Direct extraction of transversity and its accompanying T-odd distribution from the unpolarized and single-polarized Drell-Yan process"
684954,hep-ph/0506127,10.1016/j.physletb.2007.05.043,https://inspirehep.net/literature/684954,"T-odd effects in unpolarized Drell-Yan scattering"
684961,hep-ph/0506134,10.1103/PhysRevD.73.037502,https://inspirehep.net/literature/684961,"Prediction for the transverse momentum distribution of Drell-Yan dileptons at PANDA"
686133,hep-ph/0506288,10.1016/j.nuclphysb.2005.08.005,https://inspirehep.net/literature/686133,"Higher-order corrections in threshold resummation"
686244,hep-ph/0506308,10.1016/j.nuclphysa.2005.11.014,https://inspirehep.net/literature/686244,"The Color glass condensate and hadron production in the forward region"
687529,hep-ph/0507181,10.1103/PhysRevD.72.094007,https://inspirehep.net/literature/687529,"Extracting the Sivers function from polarized SIDIS data and making predictions"
688023,hep-ph/0507266,10.1103/PhysRevD.72.054028,https://inspirehep.net/literature/688023,"Single-transverse spin asymmetries: From DIS to hadronic collisions"
688785,hep-ph/0508026,10.1016/j.nuclphysa.2005.09.022,https://inspirehep.net/literature/688785,"Has saturation physics been observed in deuteron-gold collisions at RHIC?"
690949,hep-ph/0508284,10.1016/j.physletb.2005.10.038,https://inspirehep.net/literature/690949,"Threshold resummation for electroweak annihilation from DIS data"
693371,hep-ph/0509294,10.1103/PhysRevD.73.077501,https://inspirehep.net/literature/693371,"Threshold resummation for Higgs production in effective field theory"
693657,hep-ph/0509338,10.1016/j.nuclphysa.2006.02.013,https://inspirehep.net/literature/693657,"Photon + hadron production in high energy deuteron (proton)-nucleus collisions"
697369,hep-ph/0511113,10.1016/j.nuclphysbps.2006.03.022,https://inspirehep.net/literature/697369,"Sudakov resummations at higher orders"
697375,hep-ph/0511119,"",https://inspirehep.net/literature/697375,"Working Group I: Parton distributions: Summary report for the HERA LHC Workshop Proceedings"
698679,hep-ph/0511272,10.1103/PhysRevD.73.094023,https://inspirehep.net/literature/698679,"Sivers effect in Drell Yan at RHIC"
699936,hep-ph/0512091,10.1103/PhysRevD.73.034018,https://inspirehep.net/literature/699936,"Monte Carlo simulation of the Sivers effect in high-energy proton-proton collisions"
699940,hep-ph/0512095,10.1140/epjc/s2006-02490-1,https://inspirehep.net/literature/699940,"Transversity and its accompanying T-odd distribution from Drell-Yan processes with pion-proton collisions"
700033,hep-ph/0512121,10.1016/j.physletb.2006.07.012,https://inspirehep.net/literature/700033,"Double transverse-spin asymmetries in Drell-Yan processes with antiprotons"
700210,hep-ph/0512137,10.1143/PTP.115.667,https://inspirehep.net/literature/700210,"The Dilepton Q(T) spectrum in transversely polarized Drell-Yan process in QCD"
700934,hep-ph/0512249,10.1016/j.nuclphysb.2006.04.008,https://inspirehep.net/literature/700934,"On Sudakov and soft resummations in QCD"
707752,hep-ph/0604226,"",https://inspirehep.net/literature/707752,"Single spin asymmetries and gauge invariance in hard scattering processes"
708136,hep-ph/0601048,10.1016/j.physletb.2006.02.058,https://inspirehep.net/literature/708136,"Borel resummation of soft gluon radiation and higher twists"
708911,hep-ph/0601162,10.1103/PhysRevD.73.074005,https://inspirehep.net/literature/708911,"Threshold resummation for W-boson production at RHIC"
709321,nucl-ex/0601037,10.1103/PhysRevLett.96.202301,https://inspirehep.net/literature/709321,"Common suppression pattern of eta and pi0 mesons at high transverse momentum in Au+Au collisions at S(NN)**(1/2) = 200-GeV"
710186,nucl-ex/0602011,10.1103/PhysRevLett.97.152302,https://inspirehep.net/literature/710186,"Forward neutral pion production in p+p and d+Au collisions at s(NN)**(1/2) = 200-GeV"
710438,hep-ph/0602103,10.1103/PhysRevD.73.114002,https://inspirehep.net/literature/710438,"Monte Carlo simulation of single spin asymmetries in pion-proton collisions"
711500,hep-ph/0603005,10.1142/S0217751X07036385,https://inspirehep.net/literature/711500,"Q**2 dependence of azimuthal asymmetries in semi-inclusive deep inelastic scattering and in Drell-Yan"
711769,hep-ph/0603041,10.1016/j.nuclphysb.2006.06.025,https://inspirehep.net/literature/711769,"Higher-order threshold effects to inclusive processes in QCD"
711854,hep-ph/0603054,10.1103/PhysRevD.73.094025,https://inspirehep.net/literature/711854,"Collins effect in semi-inclusive deeply inelastic scattering and in e+ e- annihilation"
713783,hep-ph/0604023,10.1103/PhysRevD.73.094017,https://inspirehep.net/literature/713783,"Single Transverse-Spin Asymmetry in Drell-Yan Production at Large and Moderate Transverse Momentum"
714455,hep-ph/0604131,"",https://inspirehep.net/literature/714455,"Can collisional energy loss explain nuclear suppression factor for light hadrons?"
714906,hep-ph/0604177,10.1103/PhysRevD.74.014004,https://inspirehep.net/literature/714906,"Drell-Yan lepton angular distribution at small transverse momentum"
716284,hep-ph/0605068,10.1016/j.nuclphysb.2006.07.002,https://inspirehep.net/literature/716284,"Resummation of threshold logarithms in effective field theory for DIS, Drell-Yan and Higgs production"
716448,nucl-th/0605019,10.1103/PhysRevC.74.044901,https://inspirehep.net/literature/716448,"Azimuthal flow of decay photons in relativistic nuclear collisions"
717577,hep-ph/0605241,"",https://inspirehep.net/literature/717577,"QCD at hadron colliders and in Ultra High Energy Cosmic Rays"
719255,hep-ex/0606029,10.1140/epjc/s10052-006-0166-6,https://inspirehep.net/literature/719255,"Charged Pion Production in p+C Collisions at 158-GeV/c Beam Momentum: Discussion"
719597,hep-ph/0606195,10.1103/PhysRevD.74.057501,https://inspirehep.net/literature/719597,"Study on the feasibility of a precise measurement of the tau dependence of the cross sections for Drell-Yan experiments at moderate energies"
719690,hep-ph/0606211,10.1103/PhysRevD.74.114002,https://inspirehep.net/literature/719690,"Crossed Threshold Resummation"
721720,hep-ph/0607184,10.1142/S0217732307024152,https://inspirehep.net/literature/721720,"The QCD parton model: A Useful approximation"
722539,hep-ph/0607305,10.1103/PhysRevD.75.014016,https://inspirehep.net/literature/722539,"Next-to-leading order vs. quark off-shellness and intrinsic k(T) in the Drell-Yan process"
723806,"","",https://inspirehep.net/literature/723806,"QCD resummation of soft gluons in effective field theory"
724072,hep-ph/0608211,10.1103/PhysRevD.74.094011,https://inspirehep.net/literature/724072,"Constraints on the gluon Sivers distribution via transverse single spin asymmetries at mid-rapidity in p(up) p ---> pi0 X processes at RHIC"
724861,hep-ph/0608308,10.1016/j.nuclphysb.2007.01.005,https://inspirehep.net/literature/724861,"QCD threshold corrections to di-lepton and Higgs rapidity distributions beyond $N^{2}$ LO"
724926,hep-ph/0702006,10.1016/j.physletb.2006.06.053,https://inspirehep.net/literature/724926,"Flavor separation of the Boer-Mulders function from unpolarized pi- p and pi- D Drell-Yan processes"
725504,hep-ph/0609066,10.1103/PhysRevD.76.074015,https://inspirehep.net/literature/725504,"Drell-Yan production and Lam-Tung relation in the color glass condensate formalism"
725576,hep-ph/0609073,10.1016/j.physletb.2006.10.064,https://inspirehep.net/literature/725576,"Threshold resummation of Drell-Yan rapidity distributions"
725660,hep-ph/0609080,10.1103/PhysRevD.74.094008,https://inspirehep.net/literature/725660,"Single-Spin Observables and Orbital Structures in Hadronic Distributions"
726279,hep-ph/0609170,10.1088/1126-6708/2006/12/016,https://inspirehep.net/literature/726279,"Precision electroweak calculation of the charged current Drell-Yan process"
727381,hep-ph/0609309,10.1103/PhysRevD.74.111901,https://inspirehep.net/literature/727381,"Infrared finite coupling in Sudakov resummation: The Precise set-up"
727597,hep-ph/0610012,"",https://inspirehep.net/literature/727597,"Tevatron-for-LHC Report of the QCD Working Group"
729417,hep-ph/0610236,10.1103/PhysRevD.74.094018,https://inspirehep.net/literature/729417,"Single transverse-spin asymmetries at large-x"
729616,hep-ph/0610268,"",https://inspirehep.net/literature/729616,"QCD branch in SANC"
729695,hep-ex/0610068,10.1016/j.nuclphysb.2006.10.027,https://inspirehep.net/literature/729695,"A New measurement of the Collins and Sivers asymmetries on a transversely polarised deuteron target"
729834,hep-ph/0610317,10.1088/0954-3899/34/7/002,https://inspirehep.net/literature/729834,"Effective role of unpolarized nonvalence partons in Drell-Yan single spin asymmetries"
731134,nucl-ex/0611007,10.1103/PhysRevC.76.034904,https://inspirehep.net/literature/731134,"A Detailed Study of High-p(T) Neutral Pion Suppression and Azimuthal Anisotropy in Au+Au Collisions at s(NN)**(1/2) = 200-GeV"
731418,hep-ph/0611148,10.1088/0034-4885/70/1/R02,https://inspirehep.net/literature/731418,"Hard Interactions of Quarks and Gluons: A Primer for LHC Physics"
732097,nucl-ex/0611031,10.1103/PhysRevC.75.051902,https://inspirehep.net/literature/732097,"Production of omega mesons at Large Transverse Momenta in p + p and d + Au Collisions at s**(1/2)(NN) = 200-GeV"
733894,hep-ph/0612094,10.1103/PhysRevD.76.034020,https://inspirehep.net/literature/733894,"Drell-Yan processes, transversity and light-cone wavefunctions"
734018,hep-ph/0612117,10.1016/j.physletb.2007.01.044,https://inspirehep.net/literature/734018,"Master Formula for Twist-3 Soft-Gluon-Pole Mechanism to Single Transverse-Spin Asymmetry"
735722,hep-ph/0612350,10.1140/epjc/s10052-006-0174-6,https://inspirehep.net/literature/735722,"The cos 2 phi asymmetry of Drell-Yan and J/psi production in unpolarized p anti-p scattering"
735727,hep-ph/0612355,"",https://inspirehep.net/literature/735727,"QCD Studies at Hadron Colliders and in Deeply Virtual Neutrino Scattering"
741623,hep-ph/0701015,10.1103/PhysRevC.75.064905,https://inspirehep.net/literature/741623,"Cronin effect in the Drell-Yan reaction"
743062,hep-ph/0701202,10.1016/j.nuclphysb.2007.03.052,https://inspirehep.net/literature/743062,"Threshold Resummation for Slepton-Pair Production at Hadron Colliders"
743460,hep-ph/0701255,10.1103/PhysRevD.75.014026,https://inspirehep.net/literature/743460,"Transverse spin effects of sea quarks in unpolarized nucleons"
743768,hep-ph/0702035,"",https://inspirehep.net/literature/743768,"A New contribution to the nuclear modification factor of non-photonic electrons in Au+Au collisions at s(NN)**(1/2) = 200 GeV"
744802,hep-ph/0702186,"",https://inspirehep.net/literature/744802,"A nuclear-style mean field model for the Sivers effect in nucleon-hadron single spin asymmetries and Drell-Yan"
745149,hep-ph/0702244,10.1088/1126-6708/2007/08/030,https://inspirehep.net/literature/745149,"NNLO Logarithmic Expansions and Precise Determinations of the Neutral Currents near the Z Resonance at the LHC: The Drell-Yan case"
745157,nucl-ex/0702048,10.1142/S0218301307009063,https://inspirehep.net/literature/745157,"Mapping out the jet correlation landscape: A Perspective from PHENIX experiment"
745968,hep-ph/0703079,10.1016/j.nuclphysb.2007.04.022,https://inspirehep.net/literature/745968,"Soft gluon corrections to double transverse-spin asymmetries for small-Q(T) dilepton production at RHIC and J-PARC"
745992,nucl-th/0703019,10.1103/PhysRevC.76.041902,https://inspirehep.net/literature/745992,"Jet modification in three dimensional fluid dynamics at next-to-leading twist"
746646,hep-ph/0703176,10.1103/PhysRevD.76.034002,https://inspirehep.net/literature/746646,"Relations between generalized and transverse momentum dependent parton distributions"
747425,hep-ph/0703293,"",https://inspirehep.net/literature/747425,"Colour modification of effective T-odd distributions"
748795,0704.2292,10.1103/PhysRevD.75.094012,https://inspirehep.net/literature/748795,"Double transverse spin asymmetry in the p up anti-p up Drell-Yan process from Sivers functions"
749486,0704.3621,10.1088/0954-3899/34/7/S06,https://inspirehep.net/literature/749486,"Exploring the Partonic Structure of Hadrons through the Drell-Yan Process"
750627,0705.2141,10.1103/PhysRevD.75.114014,https://inspirehep.net/literature/750627,"$k_{T}$ factorization is violated in production of high-transverse-momentum particles in hadron-hadron collisions"
750807,0705.2481,10.1143/PTP.118.371,https://inspirehep.net/literature/750807,"Single longitudinal-spin asymmetries in lepton-pair production at RHIC and J-PARC"
750843,0705.2575,10.1103/PhysRevC.76.064907,https://inspirehep.net/literature/750843,"Radiative jet energy loss in a three-dimensional hydrodynamical medium and high pT azimuthal asymmetry of pi0 suppression at mid and forward rapidity in Au+Au collisions at sNN=200 GeV"
