cn,indeg_in_subgraph,outdeg_in_subgraph,total_internal_citations,depth,arxiv_id,doi,inspire_url,title
875383,54,28,82,2,1011.0909,10.1016/j.ppnp.2010.07.003,,Transverse-spin and transverse-momentum effects in high-energy processes
894457,36,7,43,2,1103.5977,10.1103/PhysRevD.83.114044,,Naive time-reversal odd phenomena in semi-inclusive deep-inelastic scattering from light-cone constituent quark models
848363,34,16,50,2,1003.2190,10.1103/PhysRevD.81.094019,,Intrinsic transverse parton momenta in deeply inelastic reactions
1493030,33,1,34,1,,,,Flavor and Evolution Effects in TMD Phenomenology
1094878,29,0,29,2,1203.5579,10.1140/epjc/s10052-012-2037-7,,Azimuthal asymmetries in lepton-pair production at a fixed-target experiment using the LHC beams (AFTER)
2872084,24,0,24,2,,10.25365/thesis.77562,,Kinematic power corrections in Drell-Yan processes
771566,21,40,61,2,0712.4328,10.1016/j.ppnp.2008.01.001,,Azimuthal and Single Spin Asymmetries in Hard Scattering Processes
834244,21,11,32,2,0910.3181,10.1142/S0217732309001200,,Insights on non-perturbative aspects of TMDs from models
925057,21,2,23,2,1108.4974,10.1103/PhysRevD.84.074036,,Azimuthal asymmetries in single polarized proton-proton Drell-Yan processes
1094567,21,0,21,3,1203.5006,10.3254/978-1-61499-197-7-197,,Models for TMDs and numerical methods
1725056,21,0,21,2,,,,Polarized partons in hadrons at high energy: The structure of hadrons from single and double parton interactions
839513,20,8,28,2,0912.2031,10.1103/PhysRevD.81.034023,,Updating Boer-Mulders functions from unpolarized pd and pp Drell-Yan data
1116426,20,1,21,1,1205.6358,,,TMD PDFs: A Monte Carlo implementation for the sea quark distribution
796530,19,34,53,1,0809.2262,10.1103/PhysRevD.79.034005,,Dilepton production from polarized hadron hadron collisions
826266,19,4,23,1,0907.3534,10.1393/ncr/i2009-10048-0,,Parton Propagation and Fragmentation in QCD Matter
852892,19,2,21,2,1004.4183,10.1103/PhysRevD.81.114030,,Quark-gluon correlation functions relevant to single transverse spin asymmetries
1113925,19,4,23,2,1205.1759,10.1016/j.nuclphysb.2012.07.023,,Forward Z-boson production and the unintegrated sea quark density
1761393,18,0,18,1,,,,Threshold resummation effects on the parton distribution function of the pion and time-reversal-odd single-spin asymmetries
897419,17,1,18,2,1104.5410,10.1103/PhysRevD.84.034010,,The $\sin2\phi$ azimuthal asymmetry in single longitudinally polarized $\pi N$ Drell-Yan process
1079925,17,2,19,1,1112.0696,,,Geometry of Gauge Links in Operator Definitions of Transverse-Momentum Dependent PDFs: A Comparative View
783961,16,0,16,1,0804.3545,10.5897/IJPS09.014,,Deep Inelastic Processes and the Equations of Motion
814914,16,24,40,2,0903.1271,10.1103/PhysRevD.79.094012,,Azimuthal spin asymmetries in light-cone constituent quark models
815903,16,19,35,2,0903.3490,10.1103/PhysRevD.80.014021,,Transverse momentum dependent distribution functions in a covariant parton model approach with quark orbital motion
1391315,16,0,16,2,1509.00209,10.13130/carrazza-stefano_phd2015-07-06,,Parton distribution functions with QED corrections
789754,15,38,53,2,0807.0323,10.1103/PhysRevD.78.074010,,Transverse-momentum distributions in a diquark spectator model
836470,15,2,17,2,0911.1744,10.1103/PhysRevD.81.034007,,Single spin asymmetries in l p ---> h X processes: A Test of factorization
858616,15,2,17,2,1006.3097,10.1016/j.physletb.2011.04.042,,Transverse spin asymmetries for W-production in proton-proton collisions
891389,15,3,18,1,1103.0555,10.1016/j.ppnp.2011.06.001,,Structure Functions
897700,15,8,23,3,1104.5651,10.1103/PhysRevD.84.034039,,On the Origin of Model Relations among Transverse-Momentum Dependent Parton Distributions
919107,15,0,15,3,1107.3809,10.1007/s00601-012-0311-8,,Transverse-Momentum Distributions and Spherical Symmetry
929712,15,0,15,3,1109.5864,,,Three-dimensional imaging of the nucleon in momentum space
1126143,15,6,21,3,1208.1281,10.1140/epjc/s10052-013-2636-y,,Model-Independent Evolution of Transverse Momentum Dependent Distribution Functions (TMDs) at NNLL
1127460,15,3,18,2,,,,COMPASS-II Proposal
831002,14,8,22,2,0909.2238,10.1103/PhysRevD.81.054008,,Transverse momentum dependent quark distributions and polarized Drell-Yan processes
839169,14,7,21,1,0912.1319,10.1103/PhysRevD.81.054020,,Single transverse spin asymmetry of dilepton production near Z0 pole
882024,14,7,21,3,1012.5296,10.1103/PhysRevD.83.054025,,The relation between TMDs and PDFs in the covariant parton model approach
927519,14,1,15,2,1109.3232,10.1103/PhysRevD.84.114004,,Transverse momentum dependent twist-three result for polarized Drell-Yan processes
1118749,14,2,16,2,1206.4212,10.22323/1.157.0061,,Layout of Wilson lines and light-cone peculiarities of transverse-momentum dependent PDFs
868760,13,4,17,2,1009.3423,10.1103/PhysRevD.82.114025,,Azimuthal asymmetries in unpolarized Drell-Yan processes and the Boer-Mulders distributions of antiquarks
877029,13,3,16,2,1011.2692,10.1103/PhysRevD.83.034021,,Azimuthal asymmetries for hadron distributions inside a jet in hadronic collisions
896775,13,1,14,2,1104.3512,10.1103/PhysRevD.83.114023,,Threshold-Resummed Cross Section for the Drell-Yan Process in Pion-Nucleon Collisions at COMPASS
912912,13,0,13,2,1106.1375,10.1103/PhysRevD.84.034019,,Single Spin Asymmetry Scaling in the Forward Rapidity Region at RHIC
946116,13,2,15,2,1111.3717,10.1103/PhysRevD.85.114011,,Collinear Factorization for Single Transverse-Spin Asymmetry in Drell-Yan Processes
946664,13,3,16,2,1111.4249,10.1103/PhysRevD.85.094510,,Sivers and Boer-Mulders observables from lattice QCD
1121392,13,12,25,3,1207.1303,10.1016/j.nuclphysb.2012.10.003,,Parton distributions with LHC data
1191020,13,0,13,2,1210.4790,10.1103/PhysRevD.87.014012,,Beam single spin asymmetry of neutral pion production in semi-inclusive deep inelastic scattering
862264,12,6,18,2,1007.3773,10.1103/PhysRevD.83.053007,,Transverse Momentum Distributions from Effective Field Theory with Numerical Results
886816,12,3,15,1,1102.0892,10.5689/UA-PROC-2010-09/34,,Theory of transverse-momentum parton densities: Solving the puzzle of divergences
922008,12,1,13,2,1108.0827,10.1016/j.physletb.2011.09.067,,Testing the process dependence of the Sivers function via hadron distributions inside a jet
1080122,12,0,12,2,1112.1161,10.1103/PhysRevD.85.034030,,Three-gluon contribution to the single spin asymmetry in Drell-Yan and direct-photon processes
1115605,12,0,12,3,1205.4760,10.1016/j.physletb.2012.07.035,,Predictions for Drell-Yan $\phi^*$ and $Q_T$ observables at the LHC
1181780,12,0,12,2,1208.4965,10.1103/PhysRevD.87.054010,,Azimuthal asymmetries for quark pair production in pA collisions
1188316,12,0,12,2,1209.6305,,,Unintegrated sea quark at small x and vector boson production
1189816,12,4,16,3,1210.2100,10.1103/PhysRevD.87.034018,,Equality of Two Definitions for Transverse Momentum Dependent Parton Distribution Functions
785755,11,12,23,3,0805.2137,,,"Sivers effect at HERMES, COMPASS and CLAS12"
786392,11,21,32,2,0805.3355,10.1103/PhysRevD.78.114024,,Transverse momentum dependent distribution function $h_{1T}^\perp$ and the single spin asymmetry $A_{UT}^{\sin(3\phi-\phi_S)}$
846839,11,6,17,2,1002.4666,10.1103/RevModPhys.82.2991,,Distribution Functions of the Nucleon and Pion in the Valence Region
852527,11,14,25,1,1004.3697,10.1016/j.nuclphysb.2010.07.013,,Wilson lines in transverse-momentum dependent parton distribution functions with spin degrees of freedom
889551,11,3,14,2,1102.2679,10.1007/JHEP04(2011)062,,Soft-Gluon-Pole Contribution in Single Transverse-Spin Asymmetries of Drell-Yan Processes
898643,11,3,14,3,1105.1036,10.1016/j.physletb.2011.06.021,,Hard- and soft-fermion-pole contributions to single transverse-spin asymmetry for Drell-Yan process
920222,11,6,17,2,1107.5294,10.1007/JHEP10(2011)021,,Bessel-Weighted Asymmetries in Semi Inclusive Deep Inelastic Scattering
1088563,11,0,11,3,1202.1910,,,Probing Strangeness in Hard Processes: The science case of a RICH detector for CLAS12
1095368,11,0,11,2,1203.6415,10.1007/JHEP11(2012)156,,Single Spin Asymmetry in Lepton Angular Distribution of Drell-Yan Processes
1220030,11,0,11,2,,,,Forward di-hadron asymmetries from $p^{} + p^{\uparrow(\downarrow)} + p$ at $\sqrt{s}$ = 200 GeV at STAR
1589457,11,0,11,3,1704.01031,,,QCD Radiative Corrections to Higgs Physics
735727,10,0,10,2,hep-ph/0612355,,,QCD Studies at Hadron Colliders and in Deeply Virtual Neutrino Scattering
752705,10,3,13,2,0706.1206,10.1088/1126-6708/2007/09/002,,Constant terms in threshold resummation and the quark form factor
761191,10,3,13,2,0709.2877,10.1016/j.nuclphysb.2007.10.022,,A Dispersive approach to Sudakov resummation
789859,10,8,18,3,0807.0503,10.1103/PhysRevD.78.034035,,cos(2phi) asymmetries in unpolarized semi-inclusive DIS
793555,10,0,10,2,0808.2886,10.1142/9789814277785_0002,,Transversity Asymmetries
794007,10,3,13,2,0808.3982,10.1142/9789814277785_0026,,Pretzelosity distribution function h(1T)**perpendicular
799913,10,7,17,1,0810.3333,10.1103/PhysRevD.78.114013,,Accessing tri-gluon correlations in the nucleon via the single spin asymmetry in open charm production
871444,10,2,12,2,1009.5691,10.1016/j.nuclphysb.2011.01.023,,Soft gluon resummation of Drell-Yan rapidity distributions: Theory and phenomenology
890521,10,15,25,3,1102.4704,10.1007/JHEP05(2011)041,,Unified framework for generalized and transverse-momentum dependent parton distributions within a 3Q light-cone picture of the nucleon
902334,10,9,19,3,1106.0139,10.1103/PhysRevD.84.014015,,Quark Wigner Distributions and Orbital Angular Momentum
925452,10,0,10,1,1108.5287,,,Description of Fully Differential Drell-Yan Pair Production
943429,10,10,20,3,1110.6428,10.1103/PhysRevD.85.034043,,The QCD Evolution of the Sivers Function
945042,10,3,13,3,1111.1740,10.1103/PhysRevD.85.014021,,Transverse Momentum Dependent Fragmentation and Quark Distribution Functions from the NJL-jet Model
