cn,indeg_in_subgraph,depth,arxiv_id,doi,inspire_url,title
810127,139,3,0901.0002,10.1140/epjc/s10052-009-1072-5,https://inspirehep.net/literature/810127,"Parton distributions for the LHC"
729695,57,4,hep-ex/0610068,10.1016/j.nuclphysb.2006.10.027,https://inspirehep.net/literature/729695,"A New measurement of the Collins and Sivers asymmetries on a transversely polarised deuteron target"
682772,46,4,hep-ex/0505054,"",https://inspirehep.net/literature/682772,"Antiproton-proton scattering experiments with polarization"
750627,44,2,0705.2141,10.1103/PhysRevD.75.114014,https://inspirehep.net/literature/750627,"$k_{T}$ factorization is violated in production of high-transverse-momentum particles in hadron-hadron collisions"
713783,42,2,hep-ph/0604023,10.1103/PhysRevD.73.094017,https://inspirehep.net/literature/713783,"Single Transverse-Spin Asymmetry in Drell-Yan Production at Large and Moderate Transverse Momentum"
823754,41,2,0906.3918,10.1103/PhysRevLett.103.152002,https://inspirehep.net/literature/823754,"Observation of the Naive-T-odd Sivers Effect in Deep-Inelastic Scattering"
771566,40,2,0712.4328,10.1016/j.ppnp.2008.01.001,https://inspirehep.net/literature/771566,"Azimuthal and Single Spin Asymmetries in Hard Scattering Processes"
789754,38,2,0807.0323,10.1103/PhysRevD.78.074010,https://inspirehep.net/literature/789754,"Transverse-momentum distributions in a diquark spectator model"
779762,37,1,0802.2821,10.1016/j.nuclphysb.2008.05.011,https://inspirehep.net/literature/779762,"Wilson lines and transverse-momentum dependent parton distribution functions: A Renormalization-group analysis"
763778,37,2,0710.1955,10.1103/PhysRevD.77.094001,https://inspirehep.net/literature/763778,"Renormalization, Wilson lines, and transverse-momentum dependent parton distribution functions"
746646,36,2,hep-ph/0703176,10.1103/PhysRevD.76.034002,https://inspirehep.net/literature/746646,"Relations between generalized and transverse momentum dependent parton distributions"
708985,35,1,hep-ph/0601171,10.1140/epjc/s2006-02554-2,https://inspirehep.net/literature/708985,"The Construction of gauge-links in arbitrary hard processes"
796530,34,1,0809.2262,10.1103/PhysRevD.79.034005,https://inspirehep.net/literature/796530,"Dilepton production from polarized hadron hadron collisions"
846542,33,2,1002.4407,10.1016/j.nuclphysb.2010.05.008,https://inspirehep.net/literature/846542,"A first unbiased global NLO determination of parton distributions and their uncertainties"
711854,29,3,hep-ph/0603054,10.1103/PhysRevD.73.094025,https://inspirehep.net/literature/711854,"Collins effect in semi-inclusive deeply inelastic scattering and in e+ e- annihilation"
698679,28,2,hep-ph/0511272,10.1103/PhysRevD.73.094023,https://inspirehep.net/literature/698679,"Sivers effect in Drell Yan at RHIC"
875383,28,2,1011.0909,10.1016/j.ppnp.2010.07.003,https://inspirehep.net/literature/875383,"Transverse-spin and transverse-momentum effects in high-energy processes"
690949,26,2,hep-ph/0508284,10.1016/j.physletb.2005.10.038,https://inspirehep.net/literature/690949,"Threshold resummation for electroweak annihilation from DIS data"
766732,26,2,0711.0636,10.1016/j.physletb.2007.11.096,https://inspirehep.net/literature/766732,"On the Relation Between Mechanisms for Single-Transverse-Spin Asymmetries"
777766,26,3,0801.2990,10.1103/PhysRevLett.101.222001,https://inspirehep.net/literature/777766,"Forward Neutral Pion Transverse Single Spin Asymmetries in p+p Collisions at s**(1/2) = 200-GeV"
814088,26,4,0902.4154,10.1088/1126-6708/2009/04/065,https://inspirehep.net/literature/814088,"EPS09: A New Generation of NLO and LO Nuclear Parton Distribution Functions"
618943,24,2,hep-ph/0305179,10.1088/1126-6708/2003/06/057,https://inspirehep.net/literature/618943,"Exponentiation of the Drell-Yan cross-section near partonic threshold in the DIS and MS-bar schemes"
814914,24,2,0903.1271,10.1103/PhysRevD.79.094012,https://inspirehep.net/literature/814914,"Azimuthal spin asymmetries in light-cone constituent quark models"
818224,24,2,0904.2727,10.1103/PhysRevD.80.054008,https://inspirehep.net/literature/818224,"Renormalization-group properties of transverse-momentum dependent parton distribution functions in the light-cone gauge with the Mandelstam-Leibbrandt prescription"
786236,24,3,0805.2975,10.1103/PhysRevD.78.032011,https://inspirehep.net/literature/786236,"Measurement of Azimuthal Asymmetries in Inclusive Production of Hadron Pairs in e+e- Annihilation at s**(1/2) = 10.58-GeV"
855212,24,4,1005.3457,10.1103/PhysRevD.82.074018,https://inspirehep.net/literature/855212,"Tuning Monte Carlo Generators: The Perugia Tunes"
710186,23,2,nucl-ex/0602011,10.1103/PhysRevLett.97.152302,https://inspirehep.net/literature/710186,"Forward neutral pion production in p+p and d+Au collisions at s(NN)**(1/2) = 200-GeV"
760379,23,2,0709.1390,10.1016/j.nuclphysb.2007.11.024,https://inspirehep.net/literature/760379,"Non-universality of transverse momentum dependent parton distribution functions"
862424,23,2,1007.4005,10.1140/epjc/s10052-011-1665-7,https://inspirehep.net/literature/862424,"Drell-Yan Production at Small $q_T$, Transverse Parton Distributions and the Collinear Anomaly"
594939,22,1,hep-ph/0209154,10.1016/S0550-3213(02)01034-9,https://inspirehep.net/literature/594939,"Renormalization group approach to soft gluon resummation"
679176,21,1,hep-ph/0503270,10.1103/PhysRevD.71.114007,https://inspirehep.net/literature/679176,"Dilepton production near partonic threshold in transversely polarized proton-antiproton collisions"
686133,21,2,hep-ph/0506288,10.1016/j.nuclphysb.2005.08.005,https://inspirehep.net/literature/686133,"Higher-order corrections in threshold resummation"
786392,21,2,0805.3355,10.1103/PhysRevD.78.114024,https://inspirehep.net/literature/786392,"Transverse momentum dependent distribution function $h_{1T}^\perp$ and the single spin asymmetry $A_{UT}^{\sin(3\phi-\phi_S)}$"
761288,21,3,0709.3038,10.1103/PhysRevC.76.065207,https://inspirehep.net/literature/761288,"Determination of nuclear parton distribution functions and their uncertainties in next-to-leading order"
667977,20,3,hep-ph/0412368,10.1103/PhysRevD.71.074014,https://inspirehep.net/literature/667977,"Monte-Carlo simulation of events for Drell-Yan pairs from antiproton-protons"
762845,20,3,0710.0680,10.1088/1126-6708/2008/07/030,https://inspirehep.net/literature/762845,"Dynamical Threshold Enhancement and Resummation in Drell-Yan Production"
813912,20,3,0902.3718,10.1103/PhysRevD.79.054008,https://inspirehep.net/literature/813912,"Pretzelosity h(1T)**perpendicular and quark orbital angular momentum"
714403,20,4,hep-ph/0604120,"",https://inspirehep.net/literature/714403,"Les houches physics at TeV colliders 2005, standard model and Higgs working group: Summary report"
815903,19,2,0903.3490,10.1103/PhysRevD.80.014021,https://inspirehep.net/literature/815903,"Transverse momentum dependent distribution functions in a covariant parton model approach with quark orbital motion"
877524,19,3,1011.3540,10.1016/j.cpc.2011.06.008,https://inspirehep.net/literature/877524,"FEWZ 2.0: A code for hadronic Z production at next-to-next-to-leading order"
803693,18,2,0811.4589,10.1103/PhysRevLett.102.182001,https://inspirehep.net/literature/803693,"Measurement of Angular Distributions of Drell-Yan Dimuons in p + p Interactions at 800-GeV/c"
681541,18,4,hep-ph/0504261,10.1103/PhysRevD.72.074013,https://inspirehep.net/literature/681541,"Monte Carlo simulation of events with Drell-Yan lepton pairs from antiproton-proton collisions: The Fully polarized case"
